VAR_NAME,MIN_VALUE,MAX_VALUE,min_range,max_range,COUNT,EVENT,EVENT_RATE,NONEVENT,NON_EVENT_RATE,DIST_EVENT,DIST_NON_EVENT,bucket,WOE,IV
last_loan_drawn_in_months_7,10.0,13.0,9.0,13.0,20,17.0,0.85,3.0,0.15,0.03736263736263736,0.0410958904109589,"(9.0, 13.0]",0.09523692241445286,0.24858326681594312
last_loan_drawn_in_months_7,15.0,23.0,13.0,23.0,17,12.0,0.7058823529411765,5.0,0.29411764705882354,0.026373626373626374,0.0684931506849315,"(13.0, 23.0]",0.9543692404486592,0.24858326681594312
last_loan_drawn_in_months_7,24.0,72.0,23.0,0.0,20,18.0,0.9,2.0,0.1,0.03956043956043956,0.0273972602739726,"(23.0, inf]",-0.3673865995336601,0.24858326681594312
last_loan_drawn_in_months_7,,,,,313,269.0,0.8594249201277955,44.0,0.14057507987220447,0.5912087912087912,0.6027397260273972,missing,0.019316232118981164,0.24858326681594312
current_bal_for_active_accounts_13,-5.0,0.0,0.0,0.0,13,11.0,0.8461538461538461,2.0,0.15384615384615385,0.024175824175824177,0.0273972602739726,"(-inf, 0.0]",0.12508988556413395,0.24854115487420889
current_bal_for_active_accounts_13,400.0,800.0,0.0,800.0,7,6.0,0.8571428571428571,1.0,0.14285714285714285,0.013186813186813187,0.0136986301369863,"(0.0, 800.0]",0.03807850857450415,0.24854115487420889
current_bal_for_active_accounts_13,1410.0,2179.0,800.0,2179.0,5,5.0,1.0,0.0,0.0,0.01098901098901099,0.0,"(800.0, 2179.0]",0.0,0.24854115487420889
current_bal_for_active_accounts_13,2487.0,3975.0,2179.0,3975.0,6,4.0,0.6666666666666666,2.0,0.3333333333333333,0.008791208791208791,0.0273972602739726,"(2179.0, 3975.0]",1.136690797242614,0.24854115487420889
current_bal_for_active_accounts_13,4463.0,6772.0,3975.0,6772.0,6,5.0,0.8333333333333334,1.0,0.16666666666666666,0.01098901098901099,0.0136986301369863,"(3975.0, 6772.0]",0.22040006536845883,0.24854115487420889
current_bal_for_active_accounts_13,8075.0,12075.0,6772.0,12075.0,6,3.0,0.5,3.0,0.5,0.006593406593406593,0.0410958904109589,"(6772.0, 12075.0]",1.8298379778025593,0.24854115487420889
current_bal_for_active_accounts_13,12518.0,15934.0,12075.0,15934.0,6,4.0,0.6666666666666666,2.0,0.3333333333333333,0.008791208791208791,0.0273972602739726,"(12075.0, 15934.0]",1.136690797242614,0.24854115487420889
current_bal_for_active_accounts_13,19136.0,23039.0,15934.0,23039.0,6,5.0,0.8333333333333334,1.0,0.16666666666666666,0.01098901098901099,0.0136986301369863,"(15934.0, 23039.0]",0.22040006536845883,0.24854115487420889
current_bal_for_active_accounts_13,23540.0,27382.0,23039.0,27382.0,6,4.0,0.6666666666666666,2.0,0.3333333333333333,0.008791208791208791,0.0273972602739726,"(23039.0, 27382.0]",1.136690797242614,0.24854115487420889
current_bal_for_active_accounts_13,27782.0,30345.0,27382.0,30345.0,6,5.0,0.8333333333333334,1.0,0.16666666666666666,0.01098901098901099,0.0136986301369863,"(27382.0, 30345.0]",0.22040006536845883,0.24854115487420889
